rank,location,snowfall,state,city,lat,long,elevation
84,BARTER IS. ,42.1,AK,Barter Is. ,70.1115225,-143.659631386753,10.5
85,POCATELLO,41.9,ID,Pocatello,42.8688613,-112.4401098,1361.3
86,SCOTTSBLUFF,41.6,NE,Scottsbluff,41.866634,-103.667166,1185.6
87,SIOUX FALLS,41.6,SD,Sioux Falls,43.5499749,-96.700327,448.8
88,WILLIAMSPORT,41.4,PA,Williamsport,41.2493292,-77.0027671,166.5
89,BURNS,41.3,OR,Burns,43.5862607,-119.0541032,1265.5
90,HURON,41.2,SD,Huron,44.36308,-98.214388,390.4
91,RAPID CITY,41.2,SD,Rapid City,44.081176,-103.228006,986.3
92,COLORADO SPRINGS,40.8,CO,Colorado Springs,38.8339578,-104.8253485,1831.7
93,CHICAGO,39.5,IL,Chicago,41.8755546,-87.6244212,180.6
94,ELKO,39.5,NV,Elko,40.8324212,-115.7631233,1544.1
95,TOLEDO,38.2,OH,Toledo,41.6786754,-83.5127283,184
96,UNALAKLEET,38,AK,Unalakleet,63.8730556,-160.7880556,6.1
97,ABERDEEN,37.8,SD,Aberdeen,45.4649805,-98.487813,398.2
98,GOODLAND,37.1,KS,Goodland,39.350833,-101.7101722,1122.5
99,PROVIDENCE,36.7,RI,Providence,41.8239891,-71.4128343,2.8
100,ROCKFORD,36.1,IL,Rockford,42.2713945,-89.093966,218.6
101,MIDDLETOWN/HARRISBURG,34.7,IA,Middletown/Harrisburg,NaN,NaN,218.6
102,DES MOINES,34.5,IA,Des Moines,41.5910641,-93.6037149,273.6
103,HARRISBURG,34.3,PA,Harrisburg,40.2663107,-76.8861122,102
104,CHARLESTON,33.9,WV,Charleston,38.3505995,-81.6332812,181.6
105,VALENTINE,33.7,NE,Valentine,42.8727833,-100.5509669,786.8
106,FORT WAYNE,33.6,IN,Fort Wayne,41.0799898,-85.1386015,233.8
107,WATERLOO,33.5,IA,Waterloo,42.4982858,-92.3368691,256.9
108,ALLENTOWN,33.5,PA,Allentown,40.6022059,-75.4712794,111.3
109,SIOUX CITY,33.2,IA,Sioux City,42.4966815,-96.4058782,339.5
110,GLASGOW,32.9,MT,Glasgow,48.196959,-106.636717,637
111,ALAMOSA,32.5,CO,Alamosa,37.469877,-105.8696009,2299.6
112,PUEBLO,32.5,CO,Pueblo,38.2544472,-104.609141,1425.5
113,BARROW,31.9,AK,Barrow,71.2905556,-156.7886112,3
114,MOLINE,31.6,IL,Moline,41.5067003,-90.5151342,176.7
115,OMAHA (NORTH),31.2,NE,Omaha (North),41.2587317,-95.9378732,321.4
116,NORFOLK,31,NE,Norfolk,42.0283379,-97.4169964,464.9
117,OMAHA EPPLEY AP,30.8,NE,Omaha Eppley Ap,NaN,NaN,464.9
118,NORTH PLATTE,30.7,NE,North Platte,41.1238873,-100.7654232,853.2
119,GRAND ISLAND,30.6,NE,Grand Island,40.924271,-98.338685,566.5
120,NEWARK,29.5,NJ,Newark,40.735657,-74.1723667,9.8
121,NEW YORK C.PARK,29.4,NY,New York C.Park,NaN,NaN,9.8
122,LINCOLN,28.9,NE,Lincoln,40.8,-96.667821,
123,COLUMBUS,28.9,OH,Columbus,39.9622601,-83.0007065,
124,ISLIP,28.3,NY,Islip,40.7304311,-73.2108618,
125,DAYTON,28,OH,Dayton,39.7589478,-84.1916069,
126,NEW YORK (LAGUARDIA AP),27.7,NY,New York (Laguardia Ap),NaN,NaN,
127,BRIDGEPORT,27.5,CT,Bridgeport,41.1670412,-73.2048348,
128,PEORIA,26.1,IL,Peoria,40.6938609,-89.5891008,153
129,YAKIMA,25.9,WA,Yakima,46.601557,-120.5108421,
130,HUNTINGTON,25.2,WV,Huntington,38.4192496,-82.445154,
131,RENO,25.1,NV,Reno,39.52927,-119.8136744,1371.9
132,INDIANAPOLIS,24.6,IN,Indianapolis,39.7683331,-86.1583502,219
133,NEW YORK (JFK AP),24.5,NY,New York (Jfk Ap),NaN,NaN,219
134,JACKSON,24.3,KY,Jackson,37.4200233,-83.9913882,405.2
135,GREATER CINCINNATI,24.2,KY,Greater Cincinnati,39.0503326,-84.6651261159433,265.4
136,WINNEMUCCA,24,NV,Winnemucca,40.9729584,-117.7356849,1308.2
137,WASHINGTON DULLES AP,23.9, D,Washington Dulles Ap.C,NaN,NaN,1308.2
138,SPRINGFIELD,23.5,IL,Springfield,39.7989763,-89.6443688,183.5
139,GRAND JUNCTION,23.4,CO,Grand Junction,39.063956,-108.5507317,1400
140,CLAYTON,23.4,NM,Clayton,36.451329,-103.1857926,1540.8
141,COLUMBIA,22.9,MO,Columbia,38.951883,-92.3337366,215.5
142,ROANOKE,22.8,VA,Roanoke,37.274532,-79.9602096795782,311.2
143,CONCORDIA,22.3,KS,Concordia,39.571543,-97.661141,418.6
144,PHILADELPHIA,22.3,PA,Philadelphia,39.9523993,-75.1635899,15
145,WILMINGTON,22.1,DE,Wilmington,39.7459468,-75.546589,28.6
146,BALTIMORE,22,MD,Baltimore,39.2908816,-76.610759,6.7
147,TOPEKA,21,KS,Topeka,39.049011,-95.677556,285
148,BOISE,20.7,ID,Boise,43.61656,-116.200835,824.3
149,KANSAS CITY,20.5,MO,Kansas City,39.0844687,-94.5630298,262.7
150,BLOCK IS.,20.5,RI,Block Is.,41.1643715,-71.5876466,36.6
151,DODGE CITY,20.1,KS,Dodge City,37.7527982,-100.0170787,759.9
152,ST. LOUIS,19.8,MO,St. Louis,38.6272733,-90.1978889,141.3
153,WASHINGTON NAT’L AP,19.5, D,Washington Nat’L Ap.C.,NaN,NaN,141.3
154,LYNCHBURG,18.3,VA,Lynchburg,37.40088,-79.1844923945909,202.9
155,SPRINGFIELD,18.1,MO,Springfield,37.2166779,-93.2920373,397.1
156,PENDLETON,17.7,OR,Pendleton,45.672075,-118.7885967,325.8
157,ATLANTIC CITY AP,17.5,NJ,Atlantic City Ap,NaN,NaN,325.8
158,WALLA WALLA,17.3,WA,Walla Walla,46.0649999,-118.3302784,298.4
159,AMARILLO,17,TX,Amarillo,35.2072185,-101.8338246,1116.4
160,OLYMPIA,16.7,WA,Olympia,47.0450197,-122.8948725,5.7
161,LOUISVILLE,16.6,KY,Louisville,38.2542376,-85.759407,140.2
162,WICHITA,16.2,KS,Wichita,37.6922361,-97.3375448,396.7
163,LEXINGTON,16.2,KY,Lexington,38.0464066,-84.4970393,290
164,LEWISTON,15.7,ID,Lewiston,46.4165506,-117.0176569,225.5
165,ASHEVILLE,15.7,NC,Asheville,35.6009498,-82.5540161,648.6
166,BRISTOL-JOHNSON CITY-KINGSPORT,15.5,TN,Bristol-Johnson City-Kingsport,NaN,NaN,648.6
167,EVANSVILLE,14.4,IN,Evansville,37.9747645,-87.5558483,117
168,RICHMOND,14,VA,Richmond,37.5385087,-77.43428,45.4
169,QUILLAYUTE,13.1,WA,Quillayute,47.9431296,-124.5424346,64.6
170,TULSA,12.9,OK,Tulsa,36.1556805,-95.9929113,214.4
171,ROSWELL,12.6,NM,Roswell,33.3943282,-104.5229518,1089.5
172,CAIRO,11.7,IL,Cairo,30.048819,31.243666,35.3
173,KNOXVILLE,11.6,TN,Knoxville,35.9603948,-83.9210261,276.9
174,SEATTLE SEA-TAC AP,11.4,WA,Seattle Sea-Tac Ap,NaN,NaN,276.9
175,ALBUQUERQUE,11.3,NM,Albuquerque,35.0841034,-106.6509851,1510.1
176,PADUCAH,11.1,KY,Paducah,37.0833893,-88.6000478,104.5
177,WINSLOW,10.5,AZ,Winslow,35.0241874,-110.6973572,1480.3
178,LUBBOCK,10.4,TX,Lubbock,33.5778631,-101.8551665,976
179,OAK RIDGE,10.1,TN,Oak Ridge,36.0103562,-84.2696449,259.6
180,OKLAHOMA CITY,10,OK,Oklahoma City,35.4729886,-97.5170536,372
181,NASHVILLE,9.9,TN,Nashville,36.1622296,-86.7743531,127.5
182,WALLOPS ISLAND,9.5,VA,Wallops Island,37.8376247,-75.4870571004809,
183,GREENSBORO-WINSTON-SALEM,9.3,NC,Greensboro-Winston-Salem,36.1113765,-80.1655111,
184,NORFOLK,8.3,VA,Norfolk,36.8889933,-76.2481624,
185,BISHOP,8.1,CA,Bishop,37.3650412,-118.3946477,
186,RALEIGH,7.7,NC,Raleigh,35.7803977,-78.6390989,110.2
187,MEDFORD,7.4,OR,Medford,42.3264181,-122.8718605,
188,SEATTLE C.O.,7.3,WA,Seattle C.O.,NaN,NaN,
189,GREENVILLE-SPARTANBURG,6.8,SC,Greenville-Spartanburg,34.8954456,-82.2172654098344,
190,NORTH LITTLE ROCK,6.7,AR,North Little Rock,34.783141,-92.128596,76.7
191,SALEM,6.6,OR,Salem,44.9391565,-123.033121,48.6
192,PORTLAND,6.5,OR,Portland,45.5202471,-122.6741949,10.3
193,EUGENE,6.4,OR,Eugene,44.0505054,-123.0950506,129.4
194,FORT SMITH,6.2,AR,Fort Smith,35.3872218,-94.4248983,133.8
195,WICHITA FALLS,6.2,TX,Wichita Falls,33.9137085,-98.4933873,289.1
196,CHARLOTTE,5.8,NC,Charlotte,35.2270869,-80.8431268,232.5
197,LITTLE ROCK,5.5,AR,Little Rock,34.7464809,-92.2895948,102.2
198,EL PASO,5.5,TX,El Paso,31.8111305,-106.501349395577,1347.4
199,MEMPHIS,5.4,TN,Memphis,35.1490215,-90.0516285,82.6
200,ABILENE,5.1,TX,Abilene,32.4464534,-99.7333478,527.2
201,MIDLAND-ODESSA,4.9,TX,Midland-Odessa,31.9631269,-102.2865669,908.9
202,CHATTANOOGA,4.4,TN,Chattanooga,35.0456297,-85.3096801,206.3
203,ASTORIA,4.3,OR,Astoria,46.187885,-123.831256,7.2
204,REDDING,4.2,CA,Redding,40.5863563,-122.3916754,170.7
205,SAN ANGELO,3.4,TX,San Angelo,31.4821091,-100.4424574,575.3
206,TUPELO,3.3,MS,Tupelo,34.2576067,-88.7033859,83.5
207,HUNTSVILLE,3,AL,Huntsville,34.729847,-86.5859011,189.4
208,DALLAS-FORT WORTH,3,TX,Dallas-Fort Worth,32.735794,-97.229958,195.5
209,ATHENS,2.4,GA,Athens,33.9550905,-83.3881868,230.4
210,ATLANTA,2.2,GA,Atlanta,33.7490987,-84.3901849,311.5
211,WILMINGTON,2.2,NC,Wilmington,34.2257282,-77.9447107,11.2
212,COLUMBIA,2,SC,Columbia,34.0007493,-81.0343313,93.6
213,BIRMINGHAM C.O.,1.9,AL,Birmingham C.O.,NaN,NaN,93.6
214,CAPE HATTERAS,1.9,NC,Cape Hatteras,35.2325575,-75.533368,1.2
215,SHREVEPORT,1.7,LA,Shreveport,32.5221828,-93.7651944,53.2
216,WACO,1.7,TX,Waco,31.549333,-97.1466695,143.4
217,BIRMINGHAM AP,1.5,AL,Birmingham Ap,52.4469705,-1.8249066,129.7
218,LAS VEGAS,1.3,NV,Las Vegas,36.1662859,-115.149225,617.8
219,TUCSON,1.2,AZ,Tucson,32.2218917,-110.9262353,759.4
220,AUGUSTA,1.2,GA,Augusta,33.4709714,-81.9748429,45.5
221,MERIDIAN,1.2,MS,Meridian,32.3643098,-88.703656,104.5
222,JACKSON,1,MS,Jackson,32.4104385,-90.162064988255,100.9
223,AUSTIN,1,TX,Austin,30.2711286,-97.7436995,162.6
224,MACON,0.9,GA,Macon,32.8406946,-83.6324022,113.3
225,DEL RIO,0.9,TX,Del Rio,29.3627296,-100.896761,294.7
226,CHARLESTON AP,0.8,SC,Charleston Ap,NaN,NaN,294.7
227,SAN ANTONIO,0.7,TX,San Antonio,29.3986001,-98.389169,201.2
228,COLUMBUS,0.5,GA,Columbus,32.4609764,-84.9877094,73.1
229,MOBILE,0.4,AL,Mobile,30.6943566,-88.0430541,2.6
230,MONTGOMERY,0.4,AL,Montgomery,32.3669656,-86.3006485,73
231,SAVANNAH,0.4,GA,Savannah,32.0835407,-81.0998342,5.5
232,HOUSTON,0.4,TX,Houston,29.7589382,-95.3676974,14.7
233,LAKE CHARLES,0.3,LA,Lake Charles,30.2265949,-93.2173759,4.4
234,PORT ARTHUR,0.3,TX,Port Arthur,29.8988258,-93.9287815,-0.1
235,EUREKA,0.2,CA,Eureka,40.8020712,-124.1636729,14.6
236,PENSACOLA,0.2,FL,Pensacola,30.421309,-87.2169149,16.8
237,BATON ROUGE,0.2,LA,Baton Rouge,30.4507462,-91.154551,14.3
238,NEW ORLEANS,0.2,LA,New Orleans,29.9499323,-90.0701156,1.7
239,GALVESTON,0.2,TX,Galveston,29.299328,-94.7945882,2.6
240,FRESNO,0.1,CA,Fresno,36.7295295,-119.708861260756,95.4
241,VICTORIA,0.1,TX,Victoria,28.8052674,-97.0035982,28.6
242,SANTA BARBARA,0,CA,Santa Barbara,34.4221319,-119.7026673,
243,FORT MYERS,0,FL,Fort Myers,26.640628,-81.8723084,
244,KEY WEST,0,FL,Key West,24.5625566,-81.7724368,
245,HILO,0,HI,Hilo,19.707243,-155.081635,24.3
246,HONOLULU,0,HI,Honolulu,21.3250785,-157.846644178573,45.1
247,KAHULUI,0,HI,Kahului,20.8894101,-156.4727118,
248,LIHUE,0,HI,Lihue,21.981111,-159.371111,67.4
